fecha,NE_diario,NE_media_movil_30d,SO_diario,SO_media_movil_30d
2020-01-01,39.49,29.68,28.38,29.76
2020-01-02,14.51,29.44,8.29,30.24
2020-01-03,9.61,28.71,5.77,29.37
2020-01-04,17.86,28.36,7.95,28.87
2020-01-05,43.01,27.33,32.1,27.99
2020-01-06,42.24,26.41,31.15,27.02
2020-01-07,9.89,25.59,9.67,26.29
2020-01-08,14.6,26.03,22.87,26.63
2020-01-09,37.06,26.21,43.54,26.42
2020-01-10,42.27,25.67,56.73,25.9
2020-01-11,9.68,25.83,10.92,26.37
2020-01-12,24.54,26.07,28.27,26.13
2020-01-13,39.43,25.79,47.4,25.93
2020-01-14,50.94,25.32,51.72,25.54
2020-01-15,50.0,24.83,61.59,25.06
2020-01-16,25.89,24.58,37.48,24.92
2020-01-17,17.03,24.13,15.52,25.29
2020-01-18,22.46,24.38,20.3,26.33
2020-01-19,8.72,25.23,12.17,27.34
2020-01-20,8.9,25.83,8.58,28.34
2020-01-21,9.15,25.35,11.6,27.83
2020-01-22,35.45,24.4,33.95,27.48
2020-01-23,30.14,24.46,21.69,27.75
2020-01-24,13.26,24.8,13.86,28.06
2020-01-25,29.68,24.31,37.76,27.47
2020-01-26,32.08,23.95,20.13,26.38
2020-01-27,18.35,24.59,20.6,26.99
2020-01-28,12.61,24.41,15.02,26.87
2020-01-29,11.08,23.85,11.6,26.38
2020-01-30,17.41,22.77,20.9,25.4
2020-01-31,25.9,21.8,39.53,23.94
2020-02-01,22.27,21.93,39.52,23.91
2020-02-02,35.1,23.2,36.17,24.94
2020-02-03,35.72,23.29,37.77,25.44
2020-02-04,28.66,23.83,16.96,26.2
2020-02-05,13.68,23.99,20.61,26.63
2020-02-06,11.78,24.0,17.86,26.85
2020-02-07,24.81,23.36,32.12,26.3
2020-02-08,22.37,22.86,25.87,26.15
2020-02-09,31.32,23.5,23.88,27.05
2020-02-10,28.89,23.46,29.18,26.48
2020-02-11,19.19,22.81,24.69,26.34
2020-02-12,22.71,22.43,32.63,25.94
2020-02-13,18.58,22.36,22.36,25.78
2020-02-14,20.95,22.51,17.77,26.2
2020-02-15,29.52,22.38,36.66,26.36
2020-02-16,55.16,22.37,46.46,25.99
2020-02-17,25.32,22.25,35.4,25.26
2020-02-18,24.71,22.24,35.0,25.34
2020-02-19,13.71,21.61,21.21,24.86
2020-02-20,9.52,20.82,18.25,24.56
2020-02-21,16.23,20.79,17.54,24.12
2020-02-22,15.09,21.1,17.1,24.05
2020-02-23,32.62,20.93,41.09,23.8
2020-02-24,28.58,20.76,20.65,23.8
